,code,Energy,Saturated_fatty_acids,Sugars,Fiber,Proteins,Salt,Fruit/vegetable,Original_Nutriscore,part_6,part_5,part_4Neo,part_4Nei
306,3.56E+12,389,1.6,25,7.5,9.9,0.22,0,b,b,d,a,d
307,3.56E+12,497,14,27,3.5,7.8,0.1,0,d,d,d,d,d
308,3.56E+12,385,1.1,28,6.3,8.2,0.48,0,c,c,c,b,e
309,3.56E+12,128,2.6,16,1.2,3.8,0.1,0,c,b,b,c,c
310,3.56E+12,156,4.5,13,1.9,5.4,0.1,0,c,c,a,c,c
311,3.56E+12,364,14,23,2.9,6.4,0.11,0,d,d,c,e,d
312,3.56E+12,379,1.6,25,7.6,9.3,0.22,0,b,b,d,a,d
313,3.56E+12,539,18,37,5.6,9.2,0.07,16.7,e,e,e,d,c
314,3.56E+12,539,17,39,7.4,7.7,0.16,15.2,e,e,e,e,d
315,3.56E+12,376,2.8,8,8.9,11,0.03,0,a,a,b,a,c
316,3.56E+12,465,5.6,13,8,10,0.04,0,c,c,c,a,c
317,3.56E+12,479,9.7,31,2.9,6,0.26,0,d,d,d,e,d
318,3.56E+12,91,0.6,11,1.9,3.3,0.12,0,b,b,a,b,c
319,3.56E+12,386,1.1,22,4,8.3,0.29,0,b,b,b,b,d
320,3.56E+12,390,1.5,29,7.1,9.3,0.23,0,c,c,d,b,d
321,3.56E+12,324,13,21,3.7,7.8,0.25,0,d,d,c,d,d
322,3.56E+12,487,13,21,5.300000191,7.699999809,0.02,0,d,d,c,c,c
323,3.56E+12,184,6.2,15,3,5.6,0.1,0,c,c,a,c,c
324,3.56E+12,491,13,24,2.9,7.5,0.07,0,d,d,c,d,c
325,3.56E+12,492,13,21,6.4,7.7,0.02,0,d,d,c,c,c
326,3.56E+12,365,14,23,2.9,6.4,0.11,0,d,d,c,e,d
327,3.56E+12,371,1.8,20,8.9,11,0.42,0,b,b,b,b,e
328,3.56E+12,499,14,29,3.5,7,0.1,0,e,d,d,e,d
329,3.56E+12,71,1.3,9.7,0,3.5,0.1,0,b,b,a,b,c
330,3.56E+12,433,5.3,22,7.2,9.4,0.05,0,c,c,c,b,c
331,3.56E+12,444,6,20,8.7,9.6,0.05,0,c,c,c,b,c
332,3.57E+12,559,22.5,48.3,6.6,0,0.17,0,e,e,e,e,d
333,3.56E+12,444,6,20,8.7,9.6,0.05,0,c,c,c,b,c
334,3.57E+12,462,1.8,52,4.5,13,0.08,118,b,c,c,a,a
335,3.57E+12,441,7.5,19,6.4,12,0.1,30,d,d,c,b,d
336,3.57E+12,441,7.5,19,6.4,12,0.1,0,d,d,c,b,d
337,3.57E+12,386,2.6,21.3,11,9.6,0.01,0,b,b,b,a,c
