code,name,quantity,brands,Energy,Saturated_fatty_acids,Sugars,Fiber,Proteins,Salt,Fruit/vegetable,Nutriscore,Nutriscore_point
3.263852558519E12,Mini galettes de riz,60,leader price,473.0,12.0,20.0,6.8,7.7,0.0,0.0,d,14.0
3.26385274651E12,Les biscuits bio,200,FRANPRIX,504.0,11.0,29.0,4.9,8.7,0.6,0.0,e,19.0
3.263858827213E12,Fondant au chocolat,180.0,Franprix,361.0,13.0,24.0,2.2,6.6,0.12,0.0,d,17.0
3.266191002224E12,Galettes fines mais et riz au chocolat au lait,90,La Vie Claire,487.0,14.7,28.3,1.6,6.8,0.12,0.0,e,21.0
3.266191006505E12,Barres croustillantes tout chocolat,125.0,La Vie Claire,426.0,9.4,34.0,12.0,6.5,0.01,0.0,d,16.0
3.266191008363E12,Galettes de Riz au chocolat noir,90,La Vie Claire,493.0,14.0,27.0,5.0,7.2,0.0,0.0,d,16.0
3.26619100837E12,Galettes de riz au chocolat au lait,90,La Vie Claire,497.0,14.0,27.0,3.5,7.8,0.1,0.0,d,18.0
3.266191008431E12,Galettes de Riz au Chocolat Noir et Orange,90,La Vie Claire,484.0,15.0,24.0,6.0,6.1,0.0,0.0,d,16.0
3.266191008981E12,Florentins,100.0,La Vie Claire,513.0,14.4,47.8,4.0,6.5,0.04,16.0,e,22.0
3.266191056821E12,Dessert au soja chocolat,530,La Vie Claire,103.0,0.5,13.0,1.1,3.5,0.15,0.0,b,0.0
3.266191067896E12,Paillettes au chocolat noir,200,La Vie Claire,503.0,12.8,60.3,0.0,5.7,0.1,0.0,e,26.0
3.266191081007E12,Coussins à la pâte à tartiner,375,La Vie Claire,422.0,2.8,26.0,6.9,8.9,0.7,0.0,c,10.0
3.266191081038E12,Petales au chocolat noir,375,La Vie Claire,411.0,4.4,12.0,12.0,11.0,0.02,0.0,c,6.0
3.266191081076E12,Céréales fourrées au Cacao et aux Noisettes,375,La Vie Claire,452.0,9.6,22.0,3.2,6.6,0.7,0.0,d,18.0
3.266191085722E12,Bâtonnets au chocolat au lait,125.0,La Vie Claire,528.0,15.0,36.0,2.5,6.5,0.36,0.0,e,22.0
3.268350120213E12,Biscuits Twibio Double Chocolat Au Lait Bio & équitable,150.0,Le moulin du pivert,534.0,9.8,31.1,4.2,5.8,0.15,3.0,d,18.0
3.26E12,Wheat choco,400.0,Leaderprice,390.0,1.7,30.0,6.2,9.0,0.2,0.0,c,6.0
3.270160587551E12,Fondant au Chocolat,470.0,Picard,414.0,16.0,32.0,2.2,6.4,0.12,0.0,e,20.0
3.270160820955E12,Brookie,80.0,Picard,394.0,4.8,22.0,5.9,7.0,0.3,0.0,c,8.0
3.270160821181E12,Buche glacee,410.0,Picard,181.0,3.4,26.0,2.3,2.5,0.09,0.0,c,7.0
3.270160853694E12,Petits sablés chocolat noir et sel de guérande,120.0,Picard,508.0,16.0,27.0,4.0,6.5,1.1,0.0,e,21.0
3.273120024486E12,Crunchy chocolat noir,500,Celnat,469.0,6.1,21.0,9.3,9.5,0.2,0.0,c,10.0
3.273120026367E12,Crunchy chocolat noir,3000,Celnat,469.0,6.1,21.0,9.3,9.5,0.2,0.0,c,10.0
3.273120026961E12,CRUNCHY Chocolat Noisettes,375,Celnat,483.0,6.0,20.0,9.0,9.6,0.2,0.0,c,10.0
3.273120027173E12,Muesli croustillant tout chocolat,375,Happy Bio,460.0,3.6,21.0,8.0,9.0,0.24,0.0,c,8.0
